V number,R core,R cladding,n core,n cladding,NA,LP02effb,LP02effa,LP21effd,LP21effc,LP21effb,LP21effa,LP11effd,LP11effc,LP11effb,LP11effa,LP01effb,LP01effa,Eff area02b,Eff area02a,Eff area21d,Eff area21c,Eff area21b,Eff area21a,Eff area11d,Eff area11c,Eff area11b,Eff area11a,Eff area01b,Eff area01a,dneffaa1,dneffab1,dneffac1,dneffad1,dneffba1,dneffbb1,dneffbc1,dneffbd1,dneffaa2,dneffbb2,dneffcc2,dneffdd2,dneffaa3,dneffba3,dneffca3,dneffda3,dneffab3,dneffbb3,dneffcb3,dneffdb3
5.01,7.61E-06,6.25E-05,1.4531,1.444,0.162369,1.4459,1.4459,1.4467,1.4467,1.4467,1.4467,1.4495,1.4495,1.4495,1.4495,1.4517,1.4517,6.36E-11,6.07E-11,8.97E-11,1.09E-10,7.38E-11,1.02E-10,1.10E-10,1.10E-10,9.24E-11,7.43E-11,1.06E-10,1.06E-10,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0028,0.0028,0.0028,0.0028,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
5.01,7.57E-06,6.25E-05,1.4532,1.444,0.163261,1.446,1.446,1.4468,1.4468,1.4468,1.4468,1.4495,1.4495,1.4495,1.4496,1.4517,1.4517,6.14E-11,6.00E-11,8.43E-11,8.71E-11,7.37E-11,8.19E-11,9.09E-11,9.53E-11,9.79E-11,6.16E-11,1.05E-10,1.05E-10,0.0021,0.0022,0.0022,0.0022,0.0021,0.0022,0.0022,0.0022,0.0028,0.0027,0.0027,0.0027,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
5.01,7.53E-06,6.25E-05,1.4533,1.444,0.164149,1.446,1.446,1.4468,1.4468,1.4468,1.4468,1.4496,1.4496,1.4496,1.4496,1.4518,1.4518,6.23E-11,5.94E-11,1.13E-10,9.22E-11,8.89E-11,9.04E-11,1.07E-10,9.10E-11,1.00E-10,6.99E-11,1.03E-10,1.04E-10,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0028,0.0028,0.0028,0.0028,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
5.01,7.49E-06,6.25E-05,1.4534,1.444,0.165032,1.446,1.446,1.4468,1.4468,1.4468,1.4468,1.4497,1.4497,1.4497,1.4497,1.4519,1.4519,6.15E-11,5.89E-11,1.01E-10,8.90E-11,1.11E-10,7.87E-11,9.23E-11,9.42E-11,9.04E-11,5.98E-11,1.02E-10,1.03E-10,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0029,0.0029,0.0029,0.0029,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
5.01,7.45E-06,6.25E-05,1.4535,1.444,0.16591,1.446,1.446,1.4468,1.4468,1.4469,1.4469,1.4497,1.4497,1.4497,1.4497,1.452,1.452,6.10E-11,5.82E-11,1.03E-10,1.02E-10,8.32E-11,9.69E-11,1.05E-10,9.23E-11,8.65E-11,6.61E-11,1.01E-10,1.01E-10,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0028,0.0028,0.0029,0.0029,0.0009,0.0009,0.0008,0.0008,0.0009,0.0009,0.0008,0.0008
5.01,7.41E-06,6.25E-05,1.4536,1.444,0.166784,1.446,1.446,1.4469,1.4469,1.4469,1.4469,1.4498,1.4498,1.4498,1.4498,1.4521,1.4521,6.03E-11,5.76E-11,1.05E-10,7.87E-11,7.63E-11,8.80E-11,1.05E-10,8.83E-11,9.44E-11,6.54E-11,1.00E-10,1.00E-10,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0029,0.0029,0.0029,0.0029,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
5.01,7.37E-06,6.25E-05,1.4537,1.444,0.167653,1.4461,1.4461,1.4469,1.4469,1.4469,1.4469,1.4498,1.4498,1.4498,1.4499,1.4522,1.4522,5.97E-11,5.70E-11,1.02E-10,8.23E-11,7.63E-11,8.93E-11,1.03E-10,8.63E-11,9.75E-11,6.32E-11,9.92E-11,9.92E-11,0.0023,0.0024,0.0024,0.0024,0.0023,0.0024,0.0024,0.0024,0.003,0.0029,0.0029,0.0029,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
5.01,7.33E-06,6.25E-05,1.4538,1.444,0.168518,1.4461,1.4461,1.4469,1.4469,1.4469,1.447,1.4499,1.4499,1.4499,1.4499,1.4522,1.4522,5.76E-11,5.64E-11,7.51E-11,7.95E-11,5.88E-11,5.92E-11,9.01E-11,8.50E-11,9.35E-11,5.74E-11,9.82E-11,9.83E-11,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0029,0.003,0.003,0.003,0.0009,0.0008,0.0008,0.0008,0.0009,0.0008,0.0008,0.0008
5.01,7.30E-06,6.25E-05,1.4539,1.444,0.169379,1.4461,1.4461,1.447,1.447,1.447,1.447,1.45,1.45,1.45,1.45,1.4523,1.4523,5.85E-11,5.58E-11,9.86E-11,7.80E-11,8.46E-11,7.41E-11,9.58E-11,9.49E-11,8.82E-11,5.87E-11,9.72E-11,9.72E-11,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.003,0.003,0.003,0.003,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
5.01,7.26E-06,6.25E-05,1.454,1.444,0.170235,1.4461,1.4461,1.447,1.447,1.447,1.447,1.45,1.45,1.45,1.45,1.4524,1.4524,5.79E-11,5.53E-11,9.96E-11,7.22E-11,7.53E-11,7.99E-11,9.98E-11,8.46E-11,9.52E-11,6.19E-11,9.62E-11,9.62E-11,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.003,0.003,0.003,0.003,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
5.01,7.22E-06,6.25E-05,1.4541,1.444,0.171087,1.4461,1.4462,1.447,1.447,1.447,1.447,1.4501,1.4501,1.4501,1.4501,1.4525,1.4525,5.73E-11,5.47E-11,1.01E-10,7.20E-11,7.71E-11,7.69E-11,9.81E-11,8.66E-11,8.89E-11,5.93E-11,9.52E-11,9.53E-11,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0031,0.0031,0.0031,0.0031,0.0008,0.0008,0.0008,0.0008,0.0009,0.0009,0.0009,0.0009
5.01,7.19E-06,6.25E-05,1.4542,1.444,0.171935,1.4462,1.4462,1.4471,1.4471,1.4471,1.4471,1.4501,1.4502,1.4502,1.4502,1.4526,1.4526,5.53E-11,5.41E-11,8.45E-11,7.00E-11,6.04E-11,7.15E-11,8.08E-11,9.63E-11,9.50E-11,6.49E-11,9.43E-11,9.45E-11,0.0024,0.0024,0.0024,0.0025,0.0024,0.0024,0.0024,0.0025,0.0031,0.0031,0.0031,0.003,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
