V number,R core,R cladding, n core,n cladding,NA,LP01 eff,LP11 eff,LP21 eff,LP02 eff,dneff1,dneff2,dneff3,,,,,,,,,,,,,
4.11,6.79E-06,6.25E-05,1.4517,1.444,0.149321,1.45,1.4476,1.4446,1.4442,0.0024,0.003,0.0004,,,,,,,,,,,,,
4.11,6.75E-06,6.25E-05,1.4518,1.444,0.150291,1.4501,1.4476,1.4446,1.4442,0.0025,0.003,0.0004,,,,,,,,,,,,,
4.11,6.70E-06,6.25E-05,1.4519,1.444,0.151253,1.4502,1.4477,1.4446,1.4442,0.0025,0.0031,0.0004,,,,,,,,,,,,,
4.11,6.66E-06,6.25E-05,1.452,1.444,0.15221,1.4503,1.4477,1.4446,1.4442,0.0026,0.0031,0.0004,,,,,,,,,,,,,
4.11,6.62E-06,6.25E-05,1.4521,1.444,0.153161,1.4503,1.4478,1.44465,1.4442,0.0025,0.00315,0.00045,,,,,,,,,,,,,
4.11,6.58E-06,6.25E-05,1.4522,1.444,0.154107,1.4504,1.4478,1.4447,1.4442,0.0026,0.0031,0.0005,,,,,,,,,,,,,
4.11,6.54E-06,6.25E-05,1.4523,1.444,0.155046,1.4505,1.4479,1.4447,1.4442,0.0026,0.0032,0.0005,,,,,,,,,,,,,
4.11,6.50E-06,6.25E-05,1.4524,1.444,0.15598,1.4506,1.4479,1.4447,1.4442,0.0027,0.0032,0.0005,,,,,,,,,,,,,
4.11,6.46E-06,6.25E-05,1.4525,1.444,0.156908,1.4507,1.4479,1.4447,1.4442,0.0028,0.0032,0.0005,,,,,,,,,,,,,
4.11,6.42E-06,6.25E-05,1.4526,1.444,0.157831,1.4507,1.448,1.4447,1.4442,0.0027,0.0033,0.0005,,,,,,,,,,,,,
4.11,6.39E-06,6.25E-05,1.4527,1.444,0.158749,1.4508,1.448,1.4447,1.4442,0.0028,0.0033,0.0005,,,,,,,,,,,,,
4.11,6.35E-06,6.25E-05,1.4528,1.444,0.159662,1.4509,1.4481,1.4447,1.4442,0.0028,0.0034,0.0005,,,,,,,,,,,,,
